maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex.1
27,16,0.0,11.6,6,1
27,16,0.0,11.6,6,1
27,16,0.0,11.6,6,1
27,16,0.0,11.6,6,5
27,16,0.0,11.6,6,6
27,16,0.0,11.6,6,6
27,16,0.0,11.6,6,7
27,16,0.0,11.6,6,7
27,16,0.0,11.6,6,7
27,16,0.0,11.6,6,7
27,16,0.0,11.6,6,7
27,16,0.0,11.6,6,6
27,16,0.0,11.6,6,6
27,16,0.0,11.6,6,6
27,16,0.0,11.6,6,6
27,16,0.0,11.6,6,5
27,16,0.0,11.6,6,1
27,16,0.0,11.6,6,1
27,16,0.0,11.6,6,1
27,16,0.0,11.6,6,1
27,16,0.0,11.6,6,1
27,15,0.0,11.6,6,1
27,15,0.0,11.6,6,1
27,15,0.0,11.6,6,1
27,15,0.0,11.6,6,1
27,15,0.0,11.6,6,1
27,15,0.0,11.6,6,1
27,15,0.0,11.6,6,5
27,15,0.0,11.6,6,6
27,15,0.0,11.6,6,6
27,15,0.0,11.6,6,7
27,15,0.0,11.6,6,7
27,15,0.0,11.6,6,7
27,15,0.0,11.6,6,7
27,15,0.0,11.6,6,7
27,15,0.0,11.6,6,6
27,15,0.0,11.6,6,6
27,15,0.0,11.6,6,6
27,15,0.0,11.6,6,6
27,15,0.0,11.6,6,6
27,15,0.0,11.6,6,1
27,15,0.0,11.6,6,1
27,15,0.0,11.6,6,1
27,15,0.0,11.6,6,1
27,15,0.0,11.6,6,1
27,15,0.0,11.6,6,1
27,15,0.0,11.6,6,1
27,15,0.0,11.6,6,1
27,15,0.0,11.6,6,1
